Date,Open,High,Low,Close,Volume
2019-11-18,8573.98046875,8653.2802734375,8273.5732421875,8309.2861328125,21579470673
2019-11-19,8305.134765625,8408.5166015625,8099.96337890625,8206.1455078125,21083613816
2019-11-20,8203.61328125,8237.240234375,8010.51171875,8027.26806640625,20764300437
2019-11-21,8023.64453125,8110.09814453125,7597.3818359375,7642.75,22514243371
2019-11-22,7643.5693359375,7697.3828125,6936.70654296875,7296.57763671875,34242315785
2019-11-23,7296.16455078125,7442.2587890625,7151.41796875,7397.796875,21008924418
2019-11-24,7398.6337890625,7408.5771484375,7029.2890625,7047.9169921875,30433517289
2019-11-25,7039.97705078125,7319.85693359375,6617.1669921875,7146.1337890625,42685231262
2019-11-26,7145.1591796875,7320.23046875,7098.572265625,7218.37109375,21129505542
2019-11-27,7220.880859375,7619.693359375,6974.17431640625,7531.66357421875,23991412764
2019-11-28,7536.8203125,7730.07275390625,7454.12158203125,7463.10595703125,19050116751
2019-11-29,7466.72705078125,7781.1796875,7460.75634765625,7761.24365234375,19709695456
2019-11-30,7764.05712890625,7836.10205078125,7515.849609375,7569.6298828125,17158194786
2019-12-01,7571.6162109375,7571.6162109375,7291.341796875,7424.29248046875,18720708479
2019-12-02,7424.0361328125,7474.81884765625,7233.3994140625,7321.98828125,17082040706
2019-12-03,7323.9755859375,7418.85888671875,7229.35693359375,7320.1455078125,14797485769
2019-12-04,7320.125,7539.78466796875,7170.9228515625,7252.03466796875,21664240918
2019-12-05,7253.24169921875,7743.431640625,7232.6767578125,7448.3076171875,18816085231
2019-12-06,7450.5615234375,7546.99658203125,7392.17529296875,7546.99658203125,18104466307
2019-12-07,7547.265625,7589.95166015625,7525.71142578125,7556.23779296875,15453520564
2019-12-08,7551.3388671875,7634.6064453125,7476.09130859375,7564.34521484375,15409908086
2019-12-09,7561.79541015625,7618.091796875,7365.9853515625,7400.8994140625,17872021272
2019-12-10,7397.13427734375,7424.02294921875,7246.0439453125,7278.11962890625,18249031195
2019-12-11,7277.19775390625,7324.15625,7195.52734375,7217.42724609375,16350490689
2019-12-12,7216.73876953125,7266.6396484375,7164.7412109375,7243.13427734375,18927080224
2019-12-13,7244.662109375,7293.560546875,7227.12255859375,7269.6845703125,17125736940
2019-12-14,7268.90283203125,7308.83642578125,7097.208984375,7124.673828125,17137029730
2019-12-15,7124.23974609375,7181.07568359375,6924.3759765625,7152.3017578125,16881129804
2019-12-16,7153.6630859375,7171.1689453125,6903.6826171875,6932.48046875,20213265950
2019-12-17,6931.3154296875,6964.0751953125,6587.97412109375,6640.51513671875,22363804217
2019-12-18,6647.6982421875,7324.98486328125,6540.04931640625,7276.802734375,31836522778
2019-12-19,7277.5908203125,7346.6025390625,7041.3818359375,7202.84423828125,25904604416
2019-12-20,7208.63671875,7257.921875,7086.1240234375,7218.81640625,22633815180
2019-12-21,7220.59375,7223.22607421875,7112.73583984375,7191.15869140625,19312552168
2019-12-22,7191.1884765625,7518.033203125,7167.17919921875,7511.5888671875,23134537956
2019-12-23,7508.90234375,7656.17626953125,7326.1923828125,7355.62841796875,27831788041
2019-12-24,7354.39306640625,7535.716796875,7269.52880859375,7322.5322265625,22991622105
2019-12-25,7325.755859375,7357.02001953125,7220.9912109375,7275.15576171875,21559505149
2019-12-26,7274.79931640625,7388.302734375,7200.38671875,7238.966796875,22787010034
2019-12-27,7238.14111328125,7363.529296875,7189.93408203125,7290.08837890625,22777360996
2019-12-28,7289.03125,7399.041015625,7286.9052734375,7317.990234375,21365673026
2019-12-29,7317.6474609375,7513.9482421875,7279.865234375,7422.65283203125,22445257702
2019-12-30,7420.27294921875,7454.82421875,7276.30810546875,7292.9951171875,22874131672
2019-12-31,7294.43896484375,7335.2900390625,7169.77783203125,7193.59912109375,21167946112
2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032
2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275
2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095
2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598
2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327
2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265
2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466
2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844
2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085
2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381
2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688
2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107
2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650
2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931
2020-01-17,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320
