,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,9758.8525390625,194228716225,0.0025549998972564936,0.002669000066816807,0.002520000096410513,0.002606000052765012,1332954258,230.86026000976562,252.2220001220703,230.48805236816406,245.16725158691406,74719731540
2020-06-08,9760.0634765625,9938.2978515625,9263.0693359375,9386.7880859375,160324519712,0.002606000052765012,0.002607000060379505,0.002429000101983547,0.0025110000278800726,1286248178,245.17857360839844,249.8883056640625,229.6450653076172,234.1147003173828,61122813318
2020-06-15,9386.03515625,9579.4306640625,8990.17578125,9303.6298828125,138300100692,0.0025100000202655792,0.002529999939724803,0.002406999934464693,0.0024470000062137842,1252961610,234.0583038330078,236.39430236816406,221.24176025390625,228.9898223876953,51716551698
2020-06-22,9300.9150390625,9680.3671875,8975.525390625,9143.58203125,125863637229,0.0024470000062137842,0.0024969999212771654,0.00228299992159009,0.002326000016182661,1160066622,229.0033721923828,248.50802612304688,219.47267150878906,225.34716796875,51841369946
2020-06-29,9140.029296875,9309.7548828125,8977.015625,9073.9423828125,102779717630,0.002326000016182661,0.0023819999769330025,0.0022770001087337732,0.0023089998867362738,932569016,225.36143493652344,232.75611877441406,222.25498962402344,227.6645965576172,41125720927
2020-07-06,9072.849609375,9450.3359375,9058.6640625,9276.5,113994286210,0.0023089998867362738,0.005419999826699495,0.002302000066265464,0.0036299999337643385,2622491182,227.6850128173828,248.30886840820312,227.02952575683594,242.13169860839844,53066933316
2020-07-13,9277.205078125,9306.4052734375,9088.947265625,9185.8173828125,106299733734,0.0036299999337643385,0.0037529999390244484,0.0028929999098181725,0.003381999908015132,789780520,242.18186950683594,244.31051635742188,231.6211700439453,238.48751831054688,44675225989
2020-07-20,9187.220703125,10023.8076171875,9137.509765625,9905.1669921875,120174678243,0.0033829999156296253,0.00343300006352365,0.003166999900713563,0.003234999952837825,456673010,238.494873046875,316.3863220214844,234.85264587402344,309.64361572265625,62645824049
2020-07-27,9905.2177734375,12034.14453125,9903.9697265625,11053.6142578125,188247005753,0.0032339999452233315,0.003797000041231513,0.0030400000978261232,0.0033360000234097242,561982472,309.6579284667969,411.2283020019531,307.7213439941406,370.6717224121094,95693504118
2020-08-03,11043.7685546875,11902.3359375,11012.4150390625,11675.7392578125,147527884833,0.0033360000234097242,0.0036359999794512987,0.0033080000430345535,0.0034630000591278076,459248255,371.13385009765625,406.303955078125,367.9355163574219,391.1204528808594,82646258586
2020-08-10,11662.2568359375,12150.994140625,11195.708984375,11892.8037109375,173916901671,0.0034680000972002745,0.0036069999914616346,0.003341000061482191,0.003524000057950616,469028746,391.04150390625,444.5777587890625,367.9236145019531,433.78662109375,95016597656
2020-08-17,11895.658203125,12359.056640625,11448.8056640625,11664.84765625,161417688724,0.003524000057950616,0.003717999905347824,0.0033539999276399612,0.003413999918848276,382034187,433.9737548828125,442.7349853515625,382.81463623046875,391.3844909667969,78437445412
2020-08-24,11663.689453125,11807.6318359375,11185.94140625,11711.505859375,149742951013,0.0034099998883903027,0.0034650000743567944,0.0031649998854845762,0.0032999999821186066,515092789,391.6789855957031,428.6639709472656,374.3553771972656,428.3957214355469,72292749517
2020-08-31,11713.306640625,12067.0810546875,9946.67578125,10280.3515625,221515306287,0.0033009999897331,0.0033080000430345535,0.002704000100493431,0.00278700003400445,489073241,428.5090026855469,487.2118835449219,316.77435302734375,353.3622741699219,145223038277
2020-09-07,10280.998046875,10578.837890625,9916.4931640625,10323.755859375,264126813725,0.00278700003400445,0.0028589998837560415,0.0027000000700354576,0.0027759999502450228,716537232,353.45025634765625,388.9598083496094,326.2543640136719,365.57000732421875,141321660574
2020-09-14,10328.734375,11134.0927734375,10266.0087890625,10938.271484375,210690462551,0.0027759999502450228,0.0028780000284314156,0.002722000004723668,0.0027779999654740095,979442596,365.6995849609375,393.901611328125,356.6827392578125,371.0528259277344,107134484147
2020-09-21,10934.92578125,10988.3046875,10185.7744140625,10774.4267578125,155865499950,0.0027779999654740095,0.0028019999153912067,0.0025579999200999737,0.002701000077649951,277140888,371.400146484375,375.7370300292969,317.69207763671875,357.3216857910156,90393848168
2020-09-28,10771.6416015625,10949.123046875,10440.3115234375,10684.4287109375,148886727612,0.002701000077649951,0.0027389999013394117,0.00254400004632771,0.0026459998916834593,247148337,357.3111572265625,369.2869873046875,337.35693359375,353.1219177246094,75377704565
2020-10-05,10688.0341796875,11442.2109375,10565.197265625,11384.181640625,124093265630,0.0026459998916834593,0.002715999959036708,0.0025730000343173742,0.0026740001048892736,352124745,353.0458068847656,378.26715087890625,335.5335998535156,375.1420593261719,69682766235
2020-10-12,11429.0478515625,11569.9140625,11223.0126953125,11483.359375,111639885063,0.0026340000331401825,0.002652999944984913,0.0025569999124854803,0.0025859999004751444,486961071,381.9714660644531,387.2961730957031,362.597412109375,378.21368408203125,65552032397
2020-10-19,11495.0380859375,13329.18359375,11408.2900390625,13031.173828125,210845277262,0.0025949999690055847,0.0026910000015050173,0.002572000026702881,0.002652999944984913,396806315,378.4696350097656,420.14166259765625,367.60107421875,406.2177734375,99915168196
2020-10-26,13031.201171875,14028.2138671875,12822.3828125,13737.109375,240919962782,0.002652999944984913,0.0028929999098181725,0.002518000081181526,0.0025820001028478146,498019672,406.2179870605469,411.2798767089844,375.0924072265625,396.3581848144531,92733203628
2020-11-02,13737.0322265625,15903.4375,13243.16015625,15479.5673828125,238108964192,0.0025820001028478146,0.002819000044837594,0.002452000044286251,0.002710999920964241,318810939,396.3559875488281,465.67547607421875,371.312744140625,453.5547790527344,104056836726
2020-11-09,15479.595703125,16463.177734375,14865.529296875,15955.587890625,206407256877,0.002710999920964241,0.0028510000556707382,0.0026549999602138996,0.0027749999426305294,209608354,453.57415771484375,475.2172546386719,435.16387939453125,447.55908203125,86559593873
2020-11-16,15955.5771484375,18936.62109375,15880.7060546875,18370.001953125,274506990351,0.0027749999426305294,0.003659999929368496,0.0027570000384002924,0.0033289999701082706,530444023,447.5589904785156,579.3724975585938,445.5016174316406,558.068115234375,117742517844
