,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-02-27,1446.929443359375,1524.932373046875,1433.7869873046875,1459.97314453125,20742103233,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,0.05050000175833702,0.051920000463724136,0.04929700121283531,0.05008300021290779,1286229526
2021-02-28,1459.8604736328125,1468.3914794921875,1300.47216796875,1416.0489501953125,27637026080,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,0.05009699985384941,0.050133999437093735,0.04508800059556961,0.04805200174450874,1408101260
2021-03-01,1417.151123046875,1567.694580078125,1416.4161376953125,1564.7076416015625,24032838645,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,0.04806999862194061,0.051479000598192215,0.04802900180220604,0.050599001348018646,1494427207
2021-03-02,1564.0634765625,1597.610107421875,1461.325439453125,1492.6087646484375,22523669722,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,0.050595998764038086,0.05238199979066849,0.049299001693725586,0.050262000411748886,1346282318
2021-03-03,1491.451171875,1650.360595703125,1481.90576171875,1575.8531494140625,22674780680,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,0.05027800053358078,0.05212600156664848,0.050078000873327255,0.050592001527547836,1093877445
2021-03-04,1574.623779296875,1622.953857421875,1511.1033935546875,1541.914306640625,22906118718,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680,0.050586998462677,0.05108699947595596,0.04787899926304817,0.05004800111055374,1170617084
2021-03-05,1541.541748046875,1547.878173828125,1450.891357421875,1533.2750244140625,21067146937,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883,0.0500280000269413,0.05085400119423866,0.04814700037240982,0.049609001725912094,1173113591
2021-03-06,1532.372802734375,1669.1065673828125,1519.14111328125,1654.7415771484375,22746262366,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661,0.049600999802351,0.052397001534700394,0.049382999539375305,0.05098399892449379,1480482384
2021-03-07,1655.3924560546875,1730.9241943359375,1636.564453125,1723.15380859375,23809935410,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,0.05098000168800354,0.05214099958539009,0.050572000443935394,0.052122000604867935,945455832
2021-03-08,1724.229248046875,1835.192138671875,1670.9420166015625,1834.7279052734375,27630991158,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048,0.05212299898266792,0.061948999762535095,0.05167200043797493,0.061948999762535095,3554150800
